SQL Statements,Modified_Statements,Missing Type,Missing Element,Error Position,Query Length,Query Type
"SELECT  ROW_NUMBER() OVER (PARTITION BY TAIL_NUM ORDER BY  YEAR,  MONTH,  DAY_OF_MONTH,  DEP_TIME) ID,  ORIGIN,  DEST,  TAIL_NUM,  FL_NUM, DATEFROMPARTS(YEAR,  MONTH,  DAY_OF_MONTH) DATE, CARRIER,  DEP_TIME,  ARR_TIME,  DISTANCE,  AIR_TIME FROM  [372].[flights09] a WHERE  TAIL_NUM != '' AND  '' != ALL( SELECT  ARR_TIME FROM  [372].[flights09] b WHERE  a.TAIL_NUM = b.TAIL_NUM) AND  '' != ALL( SELECT  DEP_TIME FROM  [372].[flights09] b WHERE  a.TAIL_NUM = b.TAIL_NUM)","  ROW_NUMBER() OVER (PARTITION BY TAIL_NUM ORDER BY  YEAR,  MONTH,  DAY_OF_MONTH,  DEP_TIME) ID,  ORIGIN,  DEST,  TAIL_NUM,  FL_NUM, DATEFROMPARTS(YEAR,  MONTH,  DAY_OF_MONTH) DATE, CARRIER,  DEP_TIME,  ARR_TIME,  DISTANCE,  AIR_TIME FROM  [372].[flights09] a WHERE  TAIL_NUM != '' AND  '' != ALL( SELECT  ARR_TIME FROM  [372].[flights09] b WHERE  a.TAIL_NUM = b.TAIL_NUM) AND  '' != ALL( SELECT  DEP_TIME FROM  [372].[flights09] b WHERE  a.TAIL_NUM = b.TAIL_NUM)",Missing Keywords,SELECT,{'SELECT': 1},469,SELECT
SELECT  * FROM  [521].[C25K.csv] WHERE  [Calories Burned]>250 ORDER BY  [Distance],SELECT * FROM  WHERE  [Calories Burned]>250 ORDER BY  [Distance],Missing Table,[521].[C25K.csv],{'[521].[C25K.csv]': 4},82,SELECT
SELECT  * FROM  [71].[table_Birds.csv],SELECT   FROM  [71].[table_Birds.csv],Missing Column,*,{'*': 2},38,SELECT
SELECT  * FROM  [267].[commonloci_final_noNAs.csv] where M1_meth > .8 and M3_meth > .8 and T1D3_meth = 0 and T1D5_meth = 0 and T3D3_meth = 0 and T3D5_meth = 0,  * FROM  [267].[commonloci_final_noNAs.csv] where M1_meth > .8 and M3_meth > .8 and T1D3_meth = 0 and T1D5_meth = 0 and T3D3_meth = 0 and T3D5_meth = 0,Missing Keywords,SELECT,{'SELECT': 1},158,SELECT
SELECT  * FROM  [446].[GeoMICS_key.csv] AS main FULL OUTER JOIN  [446].[V2_GDGT Data for Francois database.csv] AS gdgt ON (main.[Depth..m.] = gdgt.[Depth..m.] AND  main.[Station] = gdgt.Station),SELECT * FROM  [446].[GeoMICS_key.csv] AS main OUTER JOIN  [446].[V2_GDGT Data for Francois database.csv] AS gdgt ON (main.[Depth..m.] = gdgt.[Depth..m.] AND  main.[Station] = gdgt.Station),Missing Keywords,FULL,{'FULL': 7},195,SELECT
"SELECT CGI_ID, len(sequence)- len(REPLACE(sequence,  'C',  '')) as Ccount, len(sequence)- len(REPLACE(sequence,  'G',  '')) as Gcount, (len(sequence)- len(REPLACE(sequence,  'G',  ''))) + (len(sequence)- len(REPLACE(sequence,  'C',  ''))) as C_Gcount, len(sequence)- len(REPLACE(sequence,  'CG',  ' ')) as CpGcount, (len(sequence)- len(REPLACE(sequence,  'CG',  ' '))) / ((len(sequence)- len(REPLACE(sequence,  'G',  ''))) + (len(sequence)- len(REPLACE(sequence,  'C',  '')))) sequence FROM  [1123].[qDOD_Cgigas_gene_fasta]","SELECT CGI_ID, len(sequence)- len((sequence,  'C',  '')) as Ccount, len(sequence)- len(REPLACE(sequence,  'G',  '')) as Gcount, (len(sequence)- len(REPLACE(sequence,  'G',  ''))) + (len(sequence)- len(REPLACE(sequence,  'C',  ''))) as C_Gcount, len(sequence)- len(REPLACE(sequence,  'CG',  ' ')) as CpGcount, (len(sequence)- len(REPLACE(sequence,  'CG',  ' '))) / ((len(sequence)- len(REPLACE(sequence,  'G',  ''))) + (len(sequence)- len(REPLACE(sequence,  'C',  '')))) sequence FROM  [1123].[qDOD_Cgigas_gene_fasta]",Missing Function,REPLACE,{'REPLACE': 4},523,SELECT
SELECT  top 10 * FROM  [1059].[SeaFlow: velocity] ORDER BY  [DateTime] DESC,  top 10 * FROM  [1059].[SeaFlow: velocity] ORDER BY  [DateTime] DESC,Missing Keywords,FROM,{'FROM': 5},75,SELECT
"SELECT  'online_export' as source ,  NULL as OBSERVER_ID ,  species_code as species_code ,  common_NAME as common_name ,  null as scientific_name FROM  [1231].[xls_ebird_WA_history.txt] WHERE  QUESTION = 'Not valid and reviewed'",No modification,N/A,N/A,{},228,SELECT
"SELECT  [Event] ,  [Latitude..Decimal.deg.] AS [Longitude..Decimal.deg.] ,  [Longitude..Decimal.deg.] AS [Latitude..Decimal.deg.] ,  [Station] ,  [Depth..m.] ,  [Label] ,  [Source] ,  [X.Fe..nM] ,  [sd] ,  [columnX] ,  [X.L1...Fe..nM.] ,  [sd.1] ,  [log.K1...Fe.] ,  [sds] ,  [X.L2...Fe..nM.] ,  [sd.2] ,  [log.K2..Fe.] ,  [sd.3] ,  [eL1..Fe..nM.] ,  [X.Cu..nM] ,  [sd.4] ,  [columnY] ,  [X.L1...Cu..nM.] ,  [sd.5] ,  [log.K1...Cu.] ,  [sd.6] ,  [X.L2...Cu..nM.] ,  [sd.7] ,  [log.K2..Cu.] ,  [sd.8] ,  [X.log.Cu2..] ,  [eL1..Cu..nM.] ,  [Comments] FROM  [446].[V2_Copy of GeoMICS_data_RB.csv]",No modification,N/A,N/A,{},593,SELECT
"SELECT  [Institution], [Staff] AS [Person],  'Staff' AS [Role] FROM  [354].[geomics_staff]",No modification,N/A,N/A,{},90,SELECT
